date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-35-30,7.91,12.0,3.916,46.992,-6.27,0.961,0.58421
2020-03-31_20-35-32,7.94,12.0,3.916,46.992,-6.28,0.961,0.58421
2020-03-31_20-35-34,7.98,12.0,3.916,46.992,-6.29,0.961,0.58431
2020-03-31_20-35-36,8.01,12.0,3.916,46.992,-6.3,0.961,0.5842
2020-03-31_20-35-38,8.05,12.0,3.916,46.992,-6.31,0.961,0.58408
2020-03-31_20-35-40,8.08,12.0,3.916,46.992,-6.3,0.961,0.58409
2020-03-31_20-35-43,8.12,12.0,3.916,46.992,-6.31,0.961,0.5840299999999999
2020-03-31_20-35-45,8.15,12.0,3.916,46.992,-6.31,0.961,0.58397
2020-03-31_20-35-47,8.19,12.0,3.916,46.992,-6.32,0.961,0.58402
2020-03-31_20-35-49,8.22,12.0,3.916,46.992,-6.31,0.961,0.58419
2020-03-31_20-35-51,8.26,12.0,3.916,46.992,-6.32,0.961,0.58402
2020-03-31_20-35-53,8.29,12.0,3.916,46.992,-6.33,0.961,0.5841299999999999
2020-03-31_20-35-55,8.33,12.0,3.916,46.992,-6.33,0.961,0.58412
2020-03-31_20-35-57,8.36,12.0,3.916,46.992,-6.32,0.961,0.58424
2020-03-31_20-35-59,8.4,12.0,3.916,46.992,-6.32,0.961,0.58423
2020-03-31_20-36-02,8.43,12.0,3.916,46.992,-6.31,0.961,0.58435
2020-03-31_20-36-04,8.47,12.0,3.916,46.992,-6.31,0.961,0.58424
2020-03-31_20-36-06,8.5,12.0,3.916,46.992,-6.29,0.961,0.5842
2020-03-31_20-36-08,8.54,12.0,3.916,46.992,-6.3,0.961,0.5842
2020-03-31_20-36-10,8.57,12.0,3.916,46.992,-6.33,0.961,0.58401
2020-03-31_20-36-12,8.61,12.0,3.916,46.992,-6.34,0.961,0.5839
2020-03-31_20-36-14,8.64,12.0,3.917,47.004,-6.33,0.961,0.58401
2020-03-31_20-36-16,8.68,12.0,3.917,47.004,-6.35,0.961,0.58406
2020-03-31_20-36-18,8.71,12.0,3.917,47.004,-6.32,0.961,0.5841299999999999
2020-03-31_20-36-20,8.75,12.0,3.919,47.028,-6.31,0.961,0.58419
2020-03-31_20-36-23,8.78,12.0,3.919,47.028,-6.33,0.961,0.58407
2020-03-31_20-36-25,8.82,12.0,3.919,47.028,-6.33,0.961,0.58396
2020-03-31_20-36-27,8.85,12.0,3.919,47.028,-6.34,0.961,0.5839
2020-03-31_20-36-29,8.89,12.0,3.919,47.028,-6.33,0.961,0.58401
2020-03-31_20-36-31,8.93,12.0,3.919,47.028,-6.35,0.961,0.58401
2020-03-31_20-36-33,8.96,12.0,3.919,47.028,-6.33,0.961,0.58418
2020-03-31_20-36-35,9.0,12.0,3.919,47.028,-6.36,0.961,0.58405
2020-03-31_20-36-37,9.03,12.0,3.919,47.028,-6.35,0.961,0.58422
2020-03-31_20-36-39,9.07,12.0,3.919,47.028,-6.34,0.961,0.58439
2020-03-31_20-36-42,9.1,12.0,3.918,47.016,-6.33,0.961,0.58445
2020-03-31_20-36-44,9.14,12.0,3.917,47.004,-6.26,0.961,0.5848
2020-03-31_20-36-46,9.17,12.0,3.916,46.992,-6.33,0.961,0.58477
2020-03-31_20-36-48,9.21,12.0,3.916,46.992,-6.4,0.961,0.58441
2020-03-31_20-36-50,9.24,12.0,3.916,46.992,-6.45,0.961,0.58437
2020-03-31_20-36-52,9.28,12.0,3.915,46.98,-6.5,0.961,0.58435
2020-03-31_20-36-54,9.31,12.0,3.913,46.956,-6.54,0.961,0.58459
2020-03-31_20-36-56,9.35,12.0,3.915,46.98,-6.57,0.961,0.58485
2020-03-31_20-36-58,9.38,12.0,3.916,46.992,-6.59,0.961,0.58532
2020-03-31_20-37-00,9.42,12.0,3.916,46.992,-6.61,0.961,0.58568
2020-03-31_20-37-03,9.45,12.0,3.916,46.992,-6.6,0.961,0.58601
2020-03-31_20-37-05,9.49,12.0,3.916,46.992,-6.62,0.961,0.58643
2020-03-31_20-37-07,9.52,12.0,3.916,46.992,-6.61,0.961,0.58697
2020-03-31_20-37-09,9.56,12.0,3.916,46.992,-6.6,0.961,0.5872999999999999
2020-03-31_20-37-11,9.59,12.0,3.916,46.992,-6.61,0.961,0.58756
2020-03-31_20-37-13,9.63,12.0,3.916,46.992,-6.6,0.961,0.58783
2020-03-31_20-37-15,9.66,12.0,3.916,46.992,-6.6,0.961,0.58832
2020-03-31_20-37-17,9.7,12.0,3.916,46.992,-6.61,0.961,0.58853
2020-03-31_20-37-19,9.73,12.0,3.916,46.992,-6.62,0.961,0.5887899999999999
2020-03-31_20-37-21,9.77,12.0,3.916,46.992,-6.62,0.961,0.58927
2020-03-31_20-37-24,9.8,12.0,3.916,46.992,-6.61,0.961,0.58965
2020-03-31_20-37-26,9.84,12.0,3.916,46.992,-6.62,0.961,0.58992
2020-03-31_20-37-28,9.87,12.0,3.916,46.992,-6.62,0.961,0.59018
2020-03-31_20-37-30,9.91,12.0,3.916,46.992,-6.6,0.961,0.5904699999999999
2020-03-31_20-37-32,9.94,12.0,3.916,46.992,-6.59,0.961,0.59079
2020-03-31_20-37-34,9.98,12.0,3.916,46.992,-6.57,0.961,0.59097
2020-03-31_20-37-36,10.01,12.0,3.916,46.992,-6.55,0.961,0.59113
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
